// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Mercs Emporium
STATION;type;Tavern Station
STATION;owner;Paulie Hirem
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.10 , .50 , .70 , 1
STATION;level;7
STATION;icon;skytec_sta_mem.png
STATION;filename;sector_110_station_3.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;seed;4-5-0-1-9-0-9-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;4-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;lease;5
STATION;last_dock_time;47729.13
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;university;False
SERVICES;contracts;True
SERVICES;hangar;True
SERVICES;garage;True
SERVICES;refinery;False
SERVICES;fabricator;False
SERVICES;storage;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;15;1.50;npc_ship_data_(_STI_shuttleT3_recon).txt
MERC;15;1.50;npc_ship_data_(_STI_escortT3_assault).txt
MERC;15;1.50;npc_ship_data_(_STI_escortT3_recon).txt
MERC;15;1.50;npc_ship_data_(_STI_cruiserT3_assault).txt
MERC;15;1.50;npc_ship_data_(_STI_cruiserT3_recon).txt
MERC;15;1.50;npc_ship_data_(_STI_carrierT3_battle).txt
MERC;15;1.50;npc_ship_data_(_STI_carrierT3_recon).txt
MERC;15;1.50;npc_ship_data_(_STI_carrierT3_support).txt
MERC;15;1.50;npc_ship_data_(_STI_carrierT3_transport).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;310x1120;167363;95157.17
BUYORDER;Market Shortage: (2) Items ;404x326,312x594;115766;92361.17
ITEM;2023;116;0.59;391.82
ITEM;2489;34;0.74;5759.55
ITEM;2000;670;0.59;12.03
ITEM;2258;10;0.72;78120.00
ITEM;1;641;0.57;10.62
ITEM;42;246;1.09;31.61
ITEM;52;265;0.97;49.78
ITEM;1522;40;0.90;9148.66
ITEM;1622;8;1.12;20436.27
ITEM;1771;44;0.82;8966.08
ITEM;2367;23;0.76;100528.20
ITEM;2301;33;0.92;245598.20
ITEM;622;34;0.55;11265.63
ITEM;641;13;1.14;12337.50
ITEM;1617;66;0.87;18969.11
ITEM;737;61;1.05;571875.00
ITEM;2024;150;0.86;733.43
ITEM;310;0;1.22;93.23
ITEM;2025;150;0.74;819.28
ITEM;163;461;1.15;46.64
ITEM;111;552;1.22;33.50
ITEM;2026;130;0.65;795.35
ITEM;2027;129;0.64;1045.18
ITEM;302;63;0.89;55.78
ITEM;2652;39;0.51;458.85
ITEM;2028;128;0.56;1165.66
ITEM;1057;46;0.53;2869.25
ITEM;351;24;0.86;72.20
ITEM;153;360;0.99;13.55
ITEM;40;182;0.66;11.08
ITEM;2386;14;1.00;192.50
ITEM;2029;126;0.66;1490.04
ITEM;1760;31;1.25;13185.41
ITEM;620;20;1.12;6068.75
ITEM;312;0;1.08;109.90
ITEM;2406;56;1.15;746.25
ITEM;1731;50;1.11;4653.70
ITEM;1730;68;1.21;4228.06
ITEM;1615;44;1.08;2855.26
ITEM;1550;23;1.18;4314.57
ITEM;115;287;0.61;19.42
ITEM;664;27;1.03;146087.50
ITEM;665;13;0.98;257700.00
ITEM;1112;6;0.56;1765.13
ITEM;2173;1;0.73;62275.50
ITEM;1114;54;1.21;16166.50
ITEM;727;71;1.21;19556.25
ITEM;311;9;1.05;103.80
ITEM;729;76;0.60;10406.25
ITEM;109;815;1.11;6.14
ITEM;353;6;1.18;64.83
ITEM;406;14;1.20;40.11
ITEM;403;23;1.05;32.88
ITEM;205;569;0.97;122.86
ITEM;2452;30;0.72;1127.86
ITEM;101;541;1.16;0.94
ITEM;623;19;0.89;49187.50
ITEM;606;27;0.57;258862.50
ITEM;110;464;1.19;21.70
ITEM;605;18;0.91;240900.00
ITEM;603;29;1.15;62187.50
ITEM;325;54;0.58;15.43
ITEM;404;8;1.09;36.94
ITEM;300;2;1.07;72.39
ITEM;1779;41;1.17;12400.42
ITEM;2381;22;0.50;69913.47
ITEM;301;62;0.90;138.03
ITEM;332;42;0.98;74.30
ITEM;2651;139;0.92;658.94
ITEM;666;10;1.23;516262.50
ITEM;661;27;0.81;9037.50
ITEM;108;49;0.82;13.89
ITEM;2002;165;1.23;174.74
ITEM;2003;335;1.05;201.41
ITEM;2126;218;0.94;74.22
ITEM;2129;308;1.10;142.41
ITEM;660;23;0.93;5118.75
ITEM;112;1022;1.10;33.43
ITEM;7;380;1.11;445.39
ITEM;643;30;1.21;65187.50
ITEM;11;460;1.03;106.76
ITEM;24;532;0.95;1732.63
ITEM;2005;203;0.76;219.41
ITEM;738;12;1.24;1600500.00
ITEM;322;28;1.16;268.55
ITEM;1021;57;0.69;6897.00
ITEM;1019;2;1.05;11895.00
ITEM;2111;136;1.16;52.41
ITEM;2114;224;0.61;50.18
ITEM;151;309;0.72;10.17
ITEM;1125;24;1.15;51864.38
ITEM;1126;67;0.59;56956.38
ITEM;343;63;0.55;87.59
ITEM;341;149;0.68;59.48
ITEM;2112;128;1.04;56.91
ITEM;2391;7;1.17;760.78
ITEM;2115;215;0.56;55.63
ITEM;324;34;0.95;53.13
ITEM;313;0;1.14;302.06
